CGATS.17							
ORIGINATOR	BabelColor PatchTool. version 5.5.0 b422						
LGOROWLENGTH	31						
CREATED	2021-12-08  # Time: 17:43:41						
INSTRUMENTATION	"i1Pro 2 ; Serial number 1119950"						
INSTRUMENT_SN							
MEASUREMENT_SOURCE	Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=D50						
ILLUMINATION_NAME	D50						
OBSERVER_ANGLE	2						
FILTER	D50						
MEASUREMENT_CONDITION	M1						
WEIGHTING_FUNCTION	ILLUMINANT. D50						
WEIGHTING_FUNCTION	OBSERVER. 2 degree						
KEYWORD	DEVCALSTD						
DEVCALSTD	XRGA						
# 							
# CMYK space for the CMYK data in this file: 							
# NOTE: The CMYK data was copied from the original file. The profile parameters were also copied from the file.							
# Profile name: 							
CMYK_PROFILE_NAME	ISO Coated v2 (ECI)						
# Profile path: 							
CMYK_PROFILE_PATH	C:\Program Files (x86)\BabelColor\PatchTool\Profiles\ISOcoated_v2_eci.icc						
# Rendering intent: 							
CMYK_PROFILE_INTENT	Absolute Colorimetric						
# Black Point Compensation (BPC) setting: 							
CMYK_PROFILE_BPC	NO						
# 							
KEYWORD	SAMPLE_ID						
86	23.92	20.78	14.12	0	73.34	4.54	-8.88
87	23.92	21.57	14.12	0	72.85	5.27	-8.88
88	23.92	22.35	14.12	0	72.91	5.61	-9
89	23.92	12.94	14.9	0	75.98	-0.02	-7.24
90	23.92	13.73	14.9	0	75.31	0.44	-7.43
91	23.92	14.51	14.9	0	75.25	0.99	-7.44
92	23.92	15.29	14.9	0	74.97	1.56	-7.46
93	23.92	16.08	14.9	0	74.49	1.88	-7.8
94	23.92	16.86	14.9	0	76.73	2.75	-6.89
95	23.92	17.65	14.9	0	76.38	2.98	-7.44
96	23.92	18.43	14.9	0	75.79	3.34	-7.81
97	23.92	19.22	14.9	0	75.55	4.04	-8.02
98	23.92	20	14.9	0	75.19	4.25	-7.96
99	23.92	20.78	14.9	0	74.71	4.72	-8.31
100	23.92	21.57	14.9	0	74.54	5.25	-8.13
101	23.92	22.35	14.9	0	74.21	5.56	-8.08
102	23.92	12.94	15.69	0	77.02	0.05	-6.19
103	23.92	13.73	15.69	0	76.35	0.41	-6.56
104	23.92	14.51	15.69	0	75.48	1.01	-6.71
105	23.92	15.29	15.69	0	75.41	1.52	-6.57
106	23.92	16.08	15.69	0	75.01	1.91	-6.49
107	23.92	16.86	15.69	0	74.91	2.23	-7.14
108	23.92	17.65	15.69	0	74.84	2.56	-7.16
109	23.92	18.43	15.69	0	74.18	2.85	-7.39
110	23.92	19.22	15.69	0	74.33	3.87	-7.53
111	23.92	20	15.69	0	74	4.08	-7.4
112	23.92	20.78	15.69	0	73.56	4.71	-7.71
113	23.92	21.57	15.69	0	73.17	5.31	-8.01
114	23.92	22.35	15.69	0	72.72	5.51	-7.5
115	23.92	12.94	16.47	0	75.85	-0.26	-5.83
116	23.92	13.73	16.47	0	75.53	0.31	-6.27
117	23.92	14.51	16.47	0	74.94	0.69	-6.4
118	23.92	15.29	16.47	0	74.85	1.09	-6.33
119	23.92	16.08	16.47	0	74.6	1.65	-6.41
120	23.92	16.86	16.47	0	74.39	2.16	-6.22
121	23.92	17.65	16.47	0	73.95	2.5	-6.55
122	23.92	18.43	16.47	0	73.81	2.89	-6.66
123	23.92	19.22	16.47	0	73.68	3.45	-6.53
124	23.92	20	16.47	0	73.08	3.76	-6.97
125	23.92	20.78	16.47	0	75.53	4.51	-6.33
126	23.92	21.57	16.47	0	74.99	5.01	-6.86
127	23.92	22.35	16.47	0	74.46	5.4	-7.35
128	23.92	12.94	17.25	0	77.69	0.17	-5.94
129	23.92	13.73	17.25	0	77.08	0.3	-6.2
130	23.92	14.51	17.25	0	76.91	0.97	-6
131	23.92	15.29	17.25	0	76.67	1.34	-5.78
132	23.92	16.08	17.25	0	76.02	1.76	-5.63
133	23.92	16.86	17.25	0	75.85	2.02	-5.55
134	23.92	17.65	17.25	0	75.2	2.63	-5.95
135	23.92	18.43	17.25	0	74.33	2.88	-5.8
136	23.92	19.22	17.25	0	74.44	3.58	-6.02
137	23.92	20	17.25	0	73.91	3.87	-5.87
138	23.92	20.78	17.25	0	73.69	4.36	-6.69
139	23.92	21.57	17.25	0	73.48	5.02	-6.67
140	23.92	22.35	17.25	0	72.99	5.14	-6.99
141	23.92	12.94	18.04	0	76.62	-0.13	-5.19
142	23.92	13.73	18.04	0	76.26	0.33	-5.07
143	23.92	14.51	18.04	0	75.83	0.77	-4.99
144	23.92	15.29	18.04	0	75.51	1.08	-5.62
145	23.92	16.08	18.04	0	74.74	1.75	-5.13
146	23.92	16.86	18.04	0	74.48	2.06	-5.37
147	23.92	17.65	18.04	0	74.32	2.43	-5.75
148	23.92	18.43	18.04	0	74.24	2.48	-5.83
149	23.92	19.22	18.04	0	73.71	3.05	-5.63
150	23.92	20	18.04	0	73.71	3.57	-5.65
151	23.92	20.78	18.04	0	73.25	3.96	-5.54
152	23.92	21.57	18.04	0	72.6	4.69	-5.9
153	23.92	22.35	18.04	0	72.58	5.01	-5.84
154	23.92	12.94	18.82	0	75.78	-0.66	-4.23
155	23.92	13.73	18.82	0	75.34	-0.16	-4.69
156	23.92	14.51	18.82	0	77.14	1.17	-3.98
157	23.92	15.29	18.82	0	76.88	1.23	-4.52
158	23.92	16.08	18.82	0	76.3	1.69	-5.19
159	23.92	16.86	18.82	0	76.29	2.29	-5.26
160	23.92	17.65	18.82	0	75.74	2.39	-5.31
161	23.92	18.43	18.82	0	75.56	2.85	-5.29
162	23.92	19.22	18.82	0	75.22	3.28	-5.06
163	23.92	20	18.82	0	74.63	3.75	-4.87
164	23.92	20.78	18.82	0	74.63	4.18	-4.78
165	23.92	21.57	18.82	0	73.61	4.67	-5.32
166	23.92	22.35	18.82	0	72.87	5.2	-5.52
167	23.92	12.94	19.61	0	76.42	-0.44	-3.59
168	23.92	13.73	19.61	0	75.85	-0.06	-3.32
169	23.92	14.51	19.61	0	75.45	0.49	-4.09
170	23.92	15.29	19.61	0	75.43	0.79	-4.27
171	23.92	16.08	19.61	0	74.79	1.24	-4.54
172	23.92	16.86	19.61	0	75.06	1.99	-4.58
173	23.92	17.65	19.61	0	74.75	2.17	-4.35
174	23.92	18.43	19.61	0	74.41	2.76	-4.4
