CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.5.0 b422"
LGOROWLENGTH	31
CREATED	"2021-12-16"  # Time: 06:52:25
INSTRUMENTATION	"KONICA MINOLTA, INC. FD-9"
INSTRUMENT_SN	""
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=Unknown"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"Unknown"
MEASUREMENT_CONDITION	"Unknown"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Unknown"
# 
KEYWORD	"SAMPLE_ID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	41
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	620
BEGIN_DATA
1	1A1	89.7383	1.1496	-6.9924	0.365863	0.439391	0.500450	0.636000	0.829756	0.899414	0.898951	0.875271	0.842093	0.826857	0.811948	0.811201	0.812125	0.804889	0.789308	0.773885	0.763775	0.749523	0.729574	0.714651	0.719970	0.737737	0.746363	0.750217	0.757012	0.767267	0.778294	0.789782	0.797786	0.799461	0.796936	0.794666	0.791352	0.792831	0.802275	0.811718
21	1A2	89.5441	1.2853	-6.8136	0.363091	0.436751	0.490827	0.621809	0.809265	0.885565	0.891699	0.869836	0.837243	0.822300	0.807510	0.806746	0.808162	0.800769	0.784647	0.768710	0.758262	0.744046	0.723786	0.708981	0.715206	0.734963	0.745519	0.750399	0.755153	0.765560	0.776537	0.788027	0.796188	0.797575	0.795699	0.792704	0.790347	0.792667	0.800240	0.807813
41	1A3	89.5172	1.7760	-6.7215	0.367366	0.437810	0.488158	0.623377	0.813676	0.886959	0.889534	0.867799	0.834763	0.819486	0.804642	0.803041	0.804131	0.796388	0.781035	0.765464	0.755269	0.741472	0.722204	0.708198	0.715214	0.735995	0.749827	0.755137	0.761377	0.771835	0.782736	0.793575	0.801632	0.803251	0.800934	0.798448	0.795970	0.797204	0.805552	0.813901
61	1A4	89.1500	1.9552	-6.7588	0.363268	0.436214	0.488074	0.619558	0.803622	0.877146	0.881255	0.860111	0.827162	0.812137	0.797103	0.795719	0.796475	0.788458	0.772569	0.757012	0.746486	0.732756	0.713167	0.698900	0.705922	0.730090	0.744396	0.749771	0.755705	0.766082	0.777157	0.788419	0.796393	0.798494	0.796270	0.793252	0.790884	0.791974	0.801438	0.810902
81	1A5	88.8109	2.1830	-7.0183	0.361940	0.432163	0.486938	0.615318	0.800809	0.874483	0.877997	0.855675	0.822937	0.807398	0.791752	0.789813	0.790263	0.781806	0.765610	0.749951	0.739549	0.724339	0.703606	0.688448	0.698018	0.723146	0.738573	0.745061	0.751386	0.761919	0.772761	0.783942	0.792077	0.793981	0.791218	0.788333	0.786372	0.787477	0.795367	0.803256
101	1A6	88.9235	2.4941	-6.7905	0.363532	0.435082	0.486448	0.617001	0.798562	0.872394	0.877512	0.855761	0.823117	0.807351	0.791370	0.788836	0.789051	0.780975	0.764936	0.749411	0.739693	0.725927	0.706160	0.691983	0.700974	0.727947	0.744723	0.751185	0.757853	0.768259	0.779227	0.790302	0.798194	0.800199	0.797785	0.794279	0.792085	0.793234	0.802028	0.810821
121	1A7	88.6298	2.7582	-7.0679	0.362291	0.432028	0.483017	0.618867	0.804685	0.873412	0.874289	0.852229	0.819047	0.803056	0.786983	0.783996	0.784122	0.775234	0.758583	0.742438	0.732711	0.718999	0.698605	0.683242	0.694211	0.721067	0.739720	0.747833	0.754436	0.765211	0.776493	0.787633	0.795551	0.797290	0.794833	0.791994	0.789163	0.791186	0.796575	0.801964
141	1A8	89.6875	0.7864	-6.3430	0.357985	0.428811	0.490216	0.623371	0.812037	0.883516	0.885840	0.864977	0.832986	0.819088	0.805550	0.806622	0.809274	0.803300	0.789176	0.774788	0.764218	0.749263	0.729429	0.714425	0.719575	0.736800	0.744847	0.747949	0.753382	0.763734	0.774750	0.786207	0.794507	0.796432	0.793647	0.790389	0.788307	0.791458	0.799953	0.808447
