CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.5.0 b422"
LGOROWLENGTH	31
CREATED	"2021-12-11"  # Time: 07:04:22
INSTRUMENTATION	"KONICA MINOLTA, INC. FD-9"
INSTRUMENT_SN	""
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=Unknown"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"Unknown"
MEASUREMENT_CONDITION	"Unknown"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Unknown"
# 
KEYWORD	"SAMPLE_ID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	41
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	620
BEGIN_DATA
1	1A1	86.2618	-0.6427	-7.6501	0.317760	0.391465	0.454352	0.560712	0.742395	0.817715	0.820662	0.805492	0.775169	0.759495	0.749035	0.754273	0.760312	0.756297	0.739455	0.719209	0.702018	0.680314	0.651621	0.630619	0.631966	0.652205	0.663164	0.665739	0.670264	0.679963	0.691551	0.704145	0.714458	0.718094	0.715050	0.710501	0.706029	0.705647	0.712692	0.719737
2	1A2	85.5781	-0.3010	-7.7453	0.312061	0.385370	0.444615	0.547720	0.725409	0.802424	0.805901	0.792161	0.762499	0.746520	0.736413	0.741410	0.746895	0.741881	0.724839	0.704089	0.687272	0.665166	0.635672	0.613936	0.617019	0.639880	0.652440	0.656876	0.662273	0.671726	0.683101	0.695427	0.706002	0.709704	0.706667	0.702104	0.697095	0.696684	0.703403	0.710123
3	1A3	85.4530	0.4196	-8.1864	0.314735	0.386541	0.445726	0.552284	0.731939	0.808413	0.810839	0.795700	0.765447	0.748937	0.737237	0.739875	0.743175	0.736669	0.718781	0.698206	0.681928	0.660209	0.631098	0.609967	0.614379	0.639033	0.654362	0.661382	0.666350	0.676001	0.687639	0.700010	0.710456	0.714283	0.710981	0.706106	0.701776	0.701311	0.707067	0.712822
4	1A4	84.8587	0.7193	-8.1315	0.307757	0.379419	0.437513	0.541045	0.718554	0.793707	0.796785	0.782101	0.751661	0.735638	0.724383	0.727485	0.730815	0.724498	0.706067	0.685222	0.668819	0.647514	0.617585	0.595292	0.602294	0.628936	0.646676	0.653601	0.659096	0.669059	0.680424	0.692946	0.703640	0.707445	0.704397	0.699519	0.694834	0.694179	0.701392	0.708605
5	1A5	84.7179	1.3808	-8.1032	0.307880	0.379034	0.437004	0.542405	0.717688	0.791979	0.794551	0.779365	0.748576	0.731266	0.719114	0.720942	0.724189	0.717773	0.699055	0.679227	0.663694	0.642101	0.613510	0.591778	0.599242	0.630477	0.649672	0.657993	0.663215	0.673315	0.685010	0.697417	0.707964	0.711549	0.708259	0.703004	0.699020	0.698356	0.706042	0.713728
6	1A6	84.4884	1.8597	-8.1884	0.309559	0.379604	0.439684	0.540292	0.713469	0.788492	0.791194	0.775756	0.744841	0.727603	0.714896	0.716246	0.718558	0.711573	0.692549	0.672278	0.656945	0.636025	0.607169	0.585528	0.595108	0.627824	0.648534	0.658235	0.664562	0.674783	0.686423	0.698909	0.709206	0.713003	0.709656	0.704740	0.700883	0.699850	0.708273	0.716696
7	1A7	84.0204	2.1949	-8.4205	0.307675	0.377163	0.435184	0.536804	0.708601	0.781390	0.784187	0.768448	0.738043	0.720745	0.707426	0.708026	0.710371	0.702758	0.683216	0.662285	0.646703	0.625608	0.596194	0.574363	0.583982	0.619671	0.642367	0.651766	0.659716	0.670157	0.681583	0.694172	0.704766	0.708420	0.705297	0.700392	0.696036	0.695066	0.702714	0.710362
8	1A8	85.7430	-1.0015	-6.6784	0.307994	0.378716	0.437611	0.539320	0.714962	0.790366	0.793969	0.780743	0.750997	0.736276	0.728182	0.736961	0.746581	0.744639	0.730409	0.711178	0.694001	0.671361	0.641557	0.619691	0.621443	0.640941	0.653188	0.655780	0.660938	0.670763	0.681851	0.694370	0.704771	0.708669	0.705326	0.700612	0.695624	0.695318	0.702438	0.709558
