CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.5.0 b422"
LGOROWLENGTH	31
CREATED	"2021-12-06"  # Time: 10:26:28
INSTRUMENTATION	"Unknown"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=Unknown"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"Unknown"
MEASUREMENT_CONDITION	"Unknown"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Unknown"
# 
KEYWORD	"SAMPLE_ID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	41
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	620
BEGIN_DATA
12	A12	84.3266	1.0939	-7.2171	0.310182	0.381007	0.442339	0.542687	0.706358	0.771521	0.771413	0.756753	0.727182	0.710970	0.701483	0.707677	0.714425	0.709967	0.692935	0.672987	0.657466	0.635974	0.605946	0.583882	0.591433	0.622588	0.642707	0.649963	0.657110	0.667163	0.678265	0.690598	0.701058	0.704839	0.701844	0.697084	0.692540	0.690850	0.698869	0.706765
13	A13	84.1285	1.4846	-7.2540	0.312192	0.381719	0.433567	0.535052	0.697889	0.766270	0.768565	0.753876	0.724411	0.707814	0.697775	0.703597	0.710238	0.705268	0.687517	0.667203	0.651776	0.630375	0.600503	0.578320	0.587027	0.620343	0.642432	0.650550	0.658057	0.668182	0.679533	0.691677	0.702605	0.706138	0.702909	0.698377	0.693907	0.691997	0.699960	0.707303
14	A14	83.9212	2.1035	-7.6890	0.311345	0.381300	0.432783	0.533420	0.698128	0.768758	0.771288	0.756325	0.725922	0.708790	0.697392	0.701017	0.705800	0.699568	0.680733	0.660143	0.645455	0.624188	0.594478	0.572537	0.582598	0.618389	0.642824	0.651712	0.659352	0.669714	0.681087	0.693448	0.703967	0.707786	0.704556	0.699687	0.695207	0.694702	0.701612	0.708561
15	A15	85.7070	-1.2736	-6.0904	0.313057	0.383936	0.441308	0.542587	0.710111	0.780855	0.784078	0.770583	0.742352	0.727296	0.720527	0.731996	0.744490	0.744542	0.730799	0.712104	0.694713	0.671564	0.641554	0.619145	0.620147	0.640363	0.651022	0.654370	0.660163	0.669693	0.680827	0.693228	0.703727	0.707548	0.704323	0.699455	0.695055	0.693667	0.701232	0.708977
16	A16	85.3865	-0.9095	-5.9739	0.310471	0.381563	0.440602	0.542620	0.708967	0.774167	0.775098	0.761477	0.732814	0.718179	0.712401	0.723999	0.735996	0.735847	0.722665	0.703506	0.686630	0.663802	0.633907	0.611429	0.614600	0.636202	0.648837	0.652415	0.658243	0.667874	0.679109	0.691763	0.702192	0.706182	0.702900	0.697937	0.693582	0.692187	0.699787	0.707241
17	A17	85.1292	-0.1190	-6.2651	0.311587	0.382107	0.442630	0.545393	0.709248	0.774385	0.774602	0.760548	0.731237	0.715762	0.708615	0.718765	0.729367	0.727790	0.713012	0.694155	0.678031	0.656092	0.626528	0.604360	0.609400	0.634973	0.649701	0.654920	0.661123	0.670947	0.682057	0.694450	0.704852	0.708542	0.705467	0.700531	0.696129	0.695071	0.702440	0.709621
18	A18	84.8854	0.4150	-6.1915	0.310567	0.380243	0.432180	0.533703	0.698738	0.767505	0.769655	0.755599	0.725915	0.710073	0.702224	0.711864	0.722373	0.720542	0.705398	0.686595	0.670998	0.649412	0.619717	0.597553	0.604243	0.632713	0.650598	0.656940	0.662555	0.672619	0.683967	0.696433	0.706992	0.710834	0.707497	0.702740	0.698535	0.697609	0.704833	0.712158
19	A19	84.4448	0.9724	-6.3665	0.309143	0.378245	0.428733	0.530719	0.693612	0.760468	0.762917	0.748793	0.719373	0.702822	0.694378	0.703293	0.712668	0.710374	0.694371	0.675328	0.659805	0.638916	0.609405	0.587089	0.594726	0.626226	0.645858	0.653607	0.660772	0.670850	0.682200	0.694568	0.705062	0.708868	0.705702	0.700923	0.696422	0.695322	0.703183	0.711048
20	A20	84.1630	1.5289	-6.6750	0.309872	0.378215	0.428179	0.528045	0.690295	0.758962	0.761909	0.747779	0.717595	0.701054	0.691307	0.698742	0.707057	0.703415	0.686618	0.667518	0.652295	0.631352	0.601404	0.579545	0.588676	0.622663	0.644455	0.653483	0.660928	0.671187	0.682510	0.694807	0.705036	0.708961	0.705942	0.701103	0.696868	0.696008	0.703595	0.711548
21	A21	83.6908	2.1254	-6.6545	0.307050	0.374468	0.425813	0.523509	0.682677	0.749500	0.751945	0.737537	0.707894	0.690025	0.680894	0.687751	0.696150	0.692163	0.675053	0.655511	0.640872	0.619888	0.590372	0.568207	0.578928	0.616012	0.641180	0.650955	0.659037	0.669480	0.680888	0.693285	0.703730	0.707543	0.704267	0.699400	0.695092	0.693985	0.701278	0.708572
